"BarrierName","BarrierType","StreamName","Source","SourceID","Lat","Lon","Mitigated","YearMitigated","Pass_NABD","Pass_Before","Pass_After"
"Estimated dam","Dam","Cedar Creek","National Aquatic Barrier Dataset (SARP)","ID1001",42.263004,-114.84067,"no",0,"Unknown",0,0
"Estimated dam","Dam","","National Aquatic Barrier Dataset (SARP)","ID1002",42.404076,-114.89527,"no",0,"Unknown",0,0
"Estimated dam","Dam","","National Aquatic Barrier Dataset (SARP)","ID1003",42.42022,-114.93236,"no",0,"Unknown",0,0
"Estimated dam","Dam","","National Aquatic Barrier Dataset (SARP)","ID1005",42.41637,-114.87101,"no",0,"Unknown",0,0
"Estimated dam","Dam","","National Aquatic Barrier Dataset (SARP)","ID1006",42.948116,-115.099144,"no",0,"Unknown",0,0
"","Dam","W Canal","National Aquatic Barrier Dataset (SARP)","ID1008",42.84083,-114.86154,"no",0,"Unknown",0,0
"Water diversion","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1009",42.969063,-114.78402,"no",0,"Unknown",0,0
"Saint John","Dam","Birch Creek  Malad River","National Aquatic Barrier Dataset (SARP)","ID101",42.227383,-112.28943,"no",0,"Unknown",0,0
"","Dam","Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1013",43.361965,-112.076126,"no",0,"Unknown",0,0
"","Dam","Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1014",43.362038,-112.07417,"no",0,"Unknown",0,0
"","Dam","Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1015",43.369854,-112.069115,"no",0,"Unknown",0,0
"","Dam","Little Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1019",43.38836,-112.06377,"no",0,"Unknown",0,0
"","Dam","Little Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1020",43.366623,-112.089905,"no",0,"Unknown",0,0
"","Dam","Jensen Lateral","National Aquatic Barrier Dataset (SARP)","ID1021",43.28403,-112.107765,"no",0,"Unknown",0,0
"Water diversion","Dam","Big Lost River","National Aquatic Barrier Dataset (SARP)","ID1025",43.6006,-113.3027,"no",0,"Unknown",0,0
"Deep Creek Upper","Dam","Third Creek  Deep Creek","National Aquatic Barrier Dataset (SARP)","ID103",42.192356,-112.14734,"no",0,"Unknown",0,0
"Water diversion","Dam","Bear River","National Aquatic Barrier Dataset (SARP)","ID1033",42.607628,-111.70657,"no",0,"Unknown",0,0
"","Dam","Bench Canal","National Aquatic Barrier Dataset (SARP)","ID1034",42.57055,-111.730225,"no",0,"Unknown",0,0
"","Dam","G Canal","National Aquatic Barrier Dataset (SARP)","ID1035",42.530533,-113.878426,"no",0,"Unknown",0,0
"","Dam","Goose Creek","National Aquatic Barrier Dataset (SARP)","ID1037",42.204178,-113.90908,"no",0,"Unknown",0,0
"","Dam","H Canal","National Aquatic Barrier Dataset (SARP)","ID1039",42.476997,-113.74459,"no",0,"Unknown",0,0
