OID_,ORIG_FID,ORIG_SEQ,ORIG_FID_1,ORIG_SEQ_1,length_km,Barrier_DNSTR,Shape_Length
1,1,1,1,1,6.138764704112111,UT84701,8232.883654353136080
2,1,2,2,1,4.227905778651404,UT84701,5669.878701753579662
3,1,3,3,1,2.305903638822221,UT84701,3096.222854241172627
4,1,4,4,1,3.422316943919666,UT84701,4587.772574345011890
5,1,5,5,1,3.006548840584503,UT84701,4036.577650462415022
6,1,6,6,1,2.514603918174587,UT84701,3367.738893047413058
7,1,7,7,1,1.461375019842592,UT84701,1962.429859225399241
8,1,8,8,1,1.737052088066807,UT86058,2327.762709576199541
9,1,8,8,2,4.352219581300321,UT84701,5832.425513282493739
10,1,9,9,1,2.360365027302413,UT84701,3169.092604141226275
11,1,10,10,1,3.731584345939061,UT84701,5002.414491407887908
12,1,11,11,1,1.399262934646213,UT84701,1877.693701768529991
13,1,12,12,1,0.731335825568182,UT84701,980.764008489466960
14,1,13,13,1,4.353264728869965,UT84701,5846.490132764912232
15,1,14,14,1,3.776036798079560,UT84701,5066.477507548661379
16,1,15,15,1,4.686889739837294,UT84701,6291.985272921871911
17,1,15,15,2,1.519783819090011,,2041.011793445494277
18,1,16,16,1,0.000000000000000,,4681.578073171142933
19,1,17,17,1,4.945071526597056,,6632.125151886107233
20,1,18,18,1,2.685419389570465,,3604.048425638386561
21,1,19,19,1,5.564987905649876,,7465.102128866022213
22,1,20,20,1,4.074863227727104,,5466.507638737350135
23,1,21,21,1,0.000000000000000,,4752.909931920718009
24,1,22,22,1,0.025661649960632,,34.404297405677795
25,1,23,23,1,8.380417901950295,,11245.638483297327184
26,1,24,24,1,1.950260229355838,,2621.175200926143134
27,1,25,25,1,5.739744273657545,UT83831,7714.403670219420746
28,1,26,26,1,0.000000000000000,,10543.543758941856140
29,1,27,27,1,6.330911349736724,,8512.857800281261007
30,1,28,28,1,2.540170453599696,,3408.391584805873663
31,1,29,29,1,0.000000000000000,,12059.639279705352237
32,1,30,30,1,3.239589419155671,UT83831,4358.183375924136271
33,1,31,31,1,2.769853307087037,UT86180,3718.278829382939875
34,1,31,31,2,0.456056249943358,,612.012858747950077
35,1,32,32,1,1.656550199048396,UT86180,2222.942372613554653
36,1,33,33,1,2.396745359222481,UT83831,3223.920442401026321
37,1,34,34,1,2.020891042345037,UT86180,2714.680153818192139
38,1,35,35,1,5.300789065162554,,7120.509894616347083
39,1,36,36,1,11.306742586927326,,15194.220841106447551
40,1,37,37,1,0.372416943012580,UT83831,500.992750269414501
41,1,38,38,1,4.318770694319706,UT83831,5801.436922795298415
42,1,39,39,1,0.833405284609775,UT83831,1121.645800676091312
43,1,40,40,1,0.476242850030318,UT83831,639.557653471954382
44,1,40,40,2,2.352257571461545,,3158.266589286863109
45,1,41,41,1,7.712218448453482,,10366.865513277685750
46,1,42,42,1,2.652681824351572,,3562.518735511539489
47,1,43,43,1,2.502034444666837,TU_DIV_NE-01,3362.428739786468668
48,1,44,44,1,1.199781540742136,,1611.289030972407545
49,1,45,45,1,0.000000000000000,,13073.313824951594142
50,1,46,46,1,3.595093126124170,,4829.761050397439249
51,1,47,47,1,0.779670955760340,TU_DIV_NE-01,1048.850942025736231
